,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
75331,70513,74,4,74,0,1,1,9992,74,0,1,0.6707127925496187,4,0,74,0,31,3,-1.5813472637270414,9434.69677393238,0
75332,70513,74,4,74,0,1,1,9992,74,0,1,0.6707127925496187,4,0,74,0,31,3,-1.608439305268112,14138.069982231047,0
75333,70514,54,3,74,0,28,2,9992,74,0,1,0.670747506927433,4,1,74,0,74,0,-1.2426967444636576,6107.004214584637,0
75334,70515,53,7,74,0,25,1,9992,74,0,1,0.6707822213052473,4,2,74,0,29,1,-1.5948932844975767,12571.433786571384,0
75337,70518,74,4,74,0,7,3,8079,3,1,1,0.6708863644386904,4,0,74,0,74,0,-1.6219853260386474,76464.92696885289,1
75338,70519,74,6,74,0,24,0,9992,74,0,1,0.6709210788165049,4,0,74,0,74,0,-1.6219853260386474,13654.451244438016,0
75339,70519,74,6,74,0,24,0,9992,74,0,1,0.6709210788165049,4,0,74,0,74,0,-1.6219853260386474,16931.519543103142,0
75346,70526,74,7,74,0,25,3,9992,74,0,1,0.6711640794612054,4,1,36,1,74,0,-1.608439305268112,12441.501584363325,0
75351,70531,74,1,4,1,16,1,9992,74,0,1,0.6713376513502771,4,0,29,1,51,1,-1.4458870560216879,6439.572197811759,0
75357,70537,74,1,40,1,26,0,9992,74,0,1,0.6715459376171633,4,0,74,0,47,3,-0.6195797890190315,3765.9334596671415,0
75358,70538,56,4,55,3,10,2,9992,74,0,1,0.6715806519949776,4,0,29,1,74,0,-1.5948932844975767,14285.720212012937,0
75365,70545,74,5,42,2,0,2,5316,55,3,0,0.6718236526396781,4,0,51,1,74,0,-1.608439305268112,98683.72847597272,1
75366,70546,74,7,74,0,12,3,9992,74,0,1,0.6718583670174925,4,2,73,2,74,0,-0.5383036643958194,3762.369522970404,0
75369,70549,74,4,29,3,22,2,265,74,0,1,0.6719625101509356,4,1,74,0,74,0,-1.608439305268112,76062.81650440305,1
75370,70550,74,2,36,2,14,1,9992,4,1,1,0.6719972245287499,4,0,4,1,51,2,-1.296880827545799,6331.766533634511,0
75372,70552,74,4,74,0,1,2,9992,74,0,0,0.6720666532843786,4,2,74,0,74,0,-1.6219853260386474,20181.27893927939,0
75380,70560,74,3,43,1,28,0,9992,74,0,1,0.6723443683068935,4,1,43,1,74,0,-1.5948932844975767,16542.86400551098,0
75381,70560,74,3,43,1,28,0,9992,74,0,1,0.6723443683068935,4,1,43,1,74,0,-1.5948932844975767,16000.006637454488,0
75382,70561,74,6,74,0,18,2,6202,74,0,0,0.6723790826847079,4,0,74,0,74,0,-1.608439305268112,78890.43050084925,1
75387,70566,74,4,74,0,1,0,9992,74,0,1,0.6725526545737797,4,0,74,0,74,0,-0.26738324898511245,3641.8609213881846,0
75388,70566,74,4,74,0,1,0,9992,74,0,1,0.6725526545737797,4,0,74,0,74,0,-0.7956780590359911,2991.287090400582,0
75392,70570,74,3,74,0,3,4,9992,74,0,1,0.6726915120850371,4,1,1,3,74,0,-1.608439305268112,16965.68397867726,0
75394,70572,74,6,31,1,24,1,9992,74,0,1,0.6727609408406658,4,0,38,2,51,1,-0.6195797890190315,4100.187908750024,0
75397,70575,74,5,74,0,21,0,9992,74,0,0,0.6728650839741088,4,1,39,1,73,3,-1.5813472637270414,10297.456655914397,0
75401,70579,74,1,62,1,26,1,9992,74,0,1,0.6730039414853664,4,0,74,0,47,1,-1.3646109313984758,6049.323745372927,0
75402,70579,74,1,62,1,26,1,9992,74,0,1,0.6730039414853664,4,0,74,0,47,1,-1.3781569521690111,6133.594589094592,0
75403,70580,74,7,74,0,12,2,9992,62,2,1,0.6730386558631807,4,0,27,3,74,0,-1.5542552221859707,9207.098434033112,0
75404,70580,74,7,74,0,12,2,9992,62,2,1,0.6730386558631807,4,0,27,3,74,0,-1.608439305268112,12554.606144221174,0
75405,70581,74,7,55,3,25,3,9992,4,1,1,0.673073370240995,4,1,29,1,4,1,-1.5407092014154353,10755.89252073744,0
75406,70582,74,1,74,0,2,0,9992,47,3,1,0.6731080846188093,4,0,4,1,47,1,-1.6219853260386474,21219.01723385668,0
75407,70583,74,3,74,0,8,4,9992,74,0,0,0.6731427989966238,4,1,32,3,74,0,-1.6219853260386474,18433.50917999132,0
75408,70583,74,3,74,0,8,4,9992,74,0,0,0.6731427989966238,4,1,32,3,74,0,-1.6219853260386474,17068.063782458496,0
75409,70584,74,1,51,1,2,0,9992,31,2,1,0.6731775133744381,4,0,74,0,3,1,-1.6219853260386474,15292.985393770578,0
75412,70587,74,4,74,0,10,1,9992,74,0,1,0.6732816565078812,4,0,74,0,55,2,-1.608439305268112,14138.069982231047,0
75413,70588,74,6,36,2,18,2,9992,74,0,1,0.6733163708856955,4,0,74,0,74,0,-0.755039996724385,3167.693089526492,0
75414,70588,74,6,36,2,18,2,9992,74,0,1,0.6733163708856955,4,0,74,0,74,0,-0.7821320382654557,2938.0185639615243,0
75415,70588,74,6,36,2,18,2,9992,74,0,1,0.6733163708856955,4,0,74,0,74,0,-1.608439305268112,12724.262984007944,0
75420,70593,74,4,51,1,10,2,9992,74,0,1,0.6734899427747674,4,1,2,2,74,0,-1.608439305268112,26862.332966238995,0
75423,70596,0,6,55,3,18,0,9992,55,2,1,0.6735940859082103,4,2,74,0,39,1,-1.5948932844975767,12857.148190811642,0
75424,70597,74,1,36,1,2,3,7901,3,1,1,0.6736288002860248,4,0,74,0,74,0,-1.6219853260386474,19116.204433310737,1
75425,70598,74,6,74,0,24,0,9992,74,0,1,0.6736635146638391,4,1,74,0,74,0,-1.608439305268112,13968.413142444278,0
75432,70605,74,2,74,0,9,2,7471,74,0,1,0.6739065153085396,4,1,33,1,74,0,-1.5948932844975767,71428.60106006468,1
75433,70606,65,2,32,1,9,3,9992,33,1,0,0.673941229686354,4,0,3,1,39,2,-1.3781569521690111,24898.56053510586,0
75434,70606,65,2,32,1,9,3,9992,33,1,0,0.673941229686354,4,0,3,1,39,2,-1.5948932844975767,31400.013026004435,0
75440,70612,74,5,74,0,21,4,9992,32,2,1,0.6741495159532401,4,0,74,0,74,0,-1.5813472637270414,13358.86268875381,0
75441,70613,74,6,74,0,24,1,9992,4,2,0,0.6741842303310545,4,0,74,0,29,1,-1.5542552221859707,9344.517813645549,0
75444,70616,74,6,74,0,18,3,9992,74,0,1,0.6742883734644975,4,2,74,0,29,3,-1.5813472637270414,10854.07593461247,0
75445,70617,74,3,74,0,28,0,9992,31,2,1,0.6743230878423119,4,1,74,0,74,0,-1.3781569521690111,6133.594589094592,0
